"","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo"
"1",905377160,"240 HICKORY DR",96000,"8/1/2002 12:00:00 AM","Normal",129300,"Dwg&Lot",1863,1475,0,13217,3,"Yes",0,"Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Edwards","201602829"
"2",902404050,"607 CARROLL AVE",99600,"12/1/2012 12:00:00 AM","Abnorml",109300,"Dwg&Lot",1865,1464,0,10800,3,"No",0,"Single-family detached (includes detached townhouses)","Two story","OldTown","201214899"
"3",902104105,"1114 WILSON AVE",52000,"1/1/1988 12:00:00 AM","Partial",134500,"Dwg&Lot",1870,1815,0,10448,5,"No",0,"Single-family detached (includes detached townhouses)","Two story","OldTown","201308744"
"4",902135110,"912 KELLOGG AVE",35000,"1/1/1989 12:00:00 AM","Normal",158100,"Dwg&Lot",1870,2533,0,10228,4,"Yes",0,"Single-family detached (includes detached townhouses)","Two story","OldTown","523-197"
"5",902326040,"823 DOUGLAS AVE",0,"","Abnorml",213200,"Dwg&Lot",1872,3882,0,11520,5,"No",3,"Two-family conversion; originally built as one-family dwelling","Two and one-half story:  3rd level finished","OldTown","250-283"
"6",902330010,"114 8TH ST",122000,"12/1/2008 12:00:00 AM","Normal",137000,"Dwg&Lot",1872,2318,0,5250,4,"No",0,"Single-family detached (includes detached townhouses)","Two story","OldTown","813410"
"7",905101100,"4004 ONTARIO ST",94000,"5/1/2010 12:00:00 AM","Normal",103300,"Dwg&Lot",1875,1020,0,6342,2,"No",0,"Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","Sawyer","1004564"
"8",902330090,"722 DOUGLAS AVE",140000,"7/1/2012 12:00:00 AM","Normal",207700,"Dwg&Lot",1879,2454,0,13500,3,"Yes",1,"Single-family detached (includes detached townhouses)","Two and one-half story:  3rd level unfinished","OldTown","201207915"
"9",535353105,"615 13TH ST",68250,"6/1/1979 12:00:00 AM","No Data",183600,"Dwg&Lot",1880,2796,161,31929,2,"No",0,"Single-family detached (includes detached townhouses)","Two and one-half story:  3rd level unfinished","OldTown","258-117"
"10",535378010,"1429 KELLOGG AVE",51000,"11/1/2010 12:00:00 AM","Normal",145600,"Dwg&Lot",1880,1456,0,11798,3,"Yes",0,"Single-family detached (includes detached townhouses)","One and one-half story:  2nd level finished","OldTown","201012543"
