"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0526150060","3604 GRAND AVE","229500","5/1/2000 12:00:00 AM","Normal","285400","Dwg&Lot","1964","2252","1159","62000","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","5162"
"0526301080","3210 JOY CIR","207900","5/1/2004 12:00:00 AM","Normal","219900","Dwg&Lot","1964","1400","1130","19665","3","Yes","1","Single-family detached (includes detached townhouses)","One story","N Ames","406415"
"0526302130","3114 GROVE AVE","90000","1/1/1990 12:00:00 AM","Normal","170100","Dwg&Lot","1964","1296","1174","11200","3","No","0","Two-family conversion; originally built as one-family dwelling","One story","N Ames","201508590"
"0526350040","3109 GROVE AVE","105000","6/1/2010 12:00:00 AM","Normal","126700","Dwg&Lot","1961","896","540","11622","2","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","201006654"
"0527175091","1613 TOP O HOLLOW RD","0","","Normal","233000","Dwg&Lot","1962","2435","191","49300","3","Yes","3","Single-family detached (includes detached townhouses)","One story","Gilbert","207-62"
"0527175110","1621 TOP O HOLLOW RD","60000","1/1/1984 12:00:00 AM","Normal","167600","Dwg&Lot","1962","1068","1032","21125","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","212-94"
"0527175120","1703 TOP O HOLLOW RD","78500","1/1/1988 12:00:00 AM","Normal","177400","Dwg&Lot","1964","1285","900","13620","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Gilbert","201500615"
"0527175130","1711 TOP O HOLLOW RD","154204","3/1/2007 12:00:00 AM","Allocat","177700","Dwg&Lot","1964","1128","550","18160","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","702074"
"0527225040","917 ADAMS ST","154000","4/1/2001 12:00:00 AM","Normal","252400","Dwg&Lot","1965","3227","492","19488","2","Yes","1","Single-family detached (includes detached townhouses)","One story","Gilbert","105160"
"0527250070","1217 TOP O HOLLOW RD","65000","1/1/1986 12:00:00 AM","Normal","181000","Dwg&Lot","1962","1737","1460","34650","1","Yes","0","Duplex","One story","Gilbert","402611"
"0527425025","1012 TOP O HOLLOW RD","128000","7/1/2007 12:00:00 AM","Normal","135600","Dwg&Lot","1961","914","314","17199","2","Yes","0","Single-family detached (includes detached townhouses)","One story","N Ames","708555"
"0531476120","4626 RELIABLE ST","0","","No Data","137200","Dwg&Lot","1962","2400","2400","13200","1","Yes","0","Single-family detached (includes detached townhouses)","One story","SawyerW","800036"
