"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0531376090","5308 KANSAS DR","224243","2/1/2009 12:00:00 AM","Partial","225400","Dwg&Lot","2008","1450","0","7328","2","Yes","0","Single-family detached (includes detached townhouses)","One story","SawyerW","901561"
"0908154195","4220 COCHRANE PKY","183850","10/1/2007 12:00:00 AM","Partial","1336200","Dwg&Lot","2008","5095","4010","39290","2","Yes","3","Single-family detached (includes detached townhouses)","One story","Edwards","712257"
"0908154235","4408 COCHRANE PKY","160000","1/1/2008 12:00:00 AM","Partial","1254900","Dwg&Lot","2008","5642","5644","63887","3","Yes","3","Single-family detached (includes detached townhouses)","Two story","Edwards","201502031"
"0921128020","2716 COTTONWOOD RD","378500","5/1/2010 12:00:00 AM","Normal","533800","Dwg&Lot","2008","2018","1538","13214","3","Yes","1","Single-family detached (includes detached townhouses)","One story","Timber","201400119"
"0921128060","2618 COTTONWOOD RD","94900","3/1/2008 12:00:00 AM","Normal","649100","Dwg&Lot","2008","3148","1546","13731","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Timber","803635"
"0921128090","2520 COTTONWOOD RD","86900","4/1/2008 12:00:00 AM","Normal","632700","Dwg&Lot","2008","3224","1382","13605","4","Yes","1","Single-family detached (includes detached townhouses)","Two story","Timber","804435"
"0921128100","2508 COTTONWOOD RD","61900","4/1/2008 12:00:00 AM","Normal","595200","Dwg&Lot","2008","2679","1834","18188","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","Timber","804213"
"0911370410","433 ASPEN RIDGE RD","392500","11/1/2008 12:00:00 AM","Partial","295800","Dwg&Lot","2008","1652","1600","5587","2","Yes","1","Townhouse:  end unit","One story","Crawfor","811870"
"0911370420","431 ASPEN RIDGE RD","375000","5/1/2016 12:00:00 AM","Normal","293400","Dwg&Lot","2008","1804","1414","5938","2","Yes","1","Townhouse:  end unit","One story","Crawfor","201604682"
"0908376600","1311 MAYFIELD DR UNIT 101","0","","No Data","85100","Dwg&Lot","2008","983","0","1761","2","Yes","0","Condominium unit","One story","IOCondo","808961"
"0908376605","1311 MAYFIELD DR UNIT 102","0","","No Data","85100","Dwg&Lot","2008","983","0","1761","2","Yes","0","Condominium unit","One story","IOCondo","808961"
"0908376610","1311 MAYFIELD DR UNIT 103","0","","No Data","59400","Dwg&Lot","2008","729","0","1761","1","Yes","0","Condominium unit","One story","IOCondo","808961"
"0908376615","1311 MAYFIELD DR UNIT 104","0","","No Data","59400","Dwg&Lot","2008","729","0","1761","1","Yes","0","Condominium unit","One story","IOCondo","808961"
"0908376620","1311 MAYFIELD DR UNIT 105","0","","No Data","58700","Dwg&Lot","2008","720","0","1761","1","Yes","0","Condominium unit","One story","IOCondo","808961"
"0908376625","1311 MAYFIELD DR UNIT 106","0","","No Data","58700","Dwg&Lot","2008","720","0","1761","1","Yes","0","Condominium unit","One story","IOCondo","808961"
