"","X","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo","Error.YearBuilt","Error.LotArea","Error.GrLivArea","Error.Neighborhood","Error.Score"
"1",13128,907405140,821 MILLER AVE,208500,2/1/2008 0:00,Normal,228500,Dwg&Lot,2003,1710,706,8450,3,Yes,0,Single-family detached (includes detached townhouses),Two story,CollgCr,801423,-0.927969431336756,-0.548996081175002,-1.5428569292228,0.207655062197157,-2.8121673795374
"2",6867,533254130,2124 TORREY PINES RD,181500,5/1/2007 0:00,Normal,203600,Dwg&Lot,1976,1262,1434,9600,3,Yes,1,Single-family detached (includes detached townhouses),One story,Veenker,1003490,-1.60646357736582,-0.575915962376945,-1.10307430612847,1,-2.28545384587123
"3",11722,907196050,718 WILDER BLVD,226400,1/1/2012 0:00,Normal,222100,Dwg&Lot,2001,1786,849,11250,3,Yes,1,Single-family detached (includes detached townhouses),Two story,CollgCr,201200825,-0.920571999504426,-0.664281527142584,-1.6204944734998,0.207655062197157,-2.99769293794966
"4",759,909275230,504 ASH AVE,236000,1/1/2015 0:00,Abnorml,222700,Dwg&Lot,1915,1717,216,9550,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Crawfor,201500557,-2.36064595073656,-0.574258905043599,-1.54987662145738,0.153472234444765,-4.33130924279277
"5",11185,528326030,3127 ALMOND RD,325000,7/1/2014 0:00,Normal,312300,Dwg&Lot,2000,2198,655,14260,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NoRidge,201406482,-0.922700463996494,-0.927910281635236,-2.05979824021209,0.157473634560831,-3.75293535128299
"6",8758,923400025,202 KEN MARIL RD,143000,10/1/2009 0:00,Normal,197700,Dwg&Lot,1993,1362,732,14115,1,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,Mitchel,913577,-1.03685111562503,-0.913317224924292,-1.19303395172943,0.179445972994858,-2.96375631928389
"7",13561,528441080,2420 YORKSHIRE CIR,307000,8/1/2007 0:00,Normal,295100,Dwg&Lot,2004,1694,1446,10084,3,Yes,1,Single-family detached (includes detached townhouses),One story,Somerst,710230,-0.938313875774836,-0.595795516781992,-1.52680314396599,0.154682497497796,-2.90623003902502
"8",6173,534128010,1636 JOHNSON ST,233000,7/1/2013 0:00,Normal,252100,Dwg&Lot,1973,2090,891,10382,3,Yes,2,Single-family detached (includes detached townhouses),Two story,NWAmes,201309545,-1.69193638044433,-0.610548713192768,-1.93775338817145,0.211509979623512,-4.02872850218504
"9",1800,903234100,1019 GRAND AVE,129900,4/1/2008 0:00,Abnorml,168100,Dwg&Lot,1931,1774,0,6120,2,Yes,2,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,804170,-2.16251325530493,-0.550857937668191,-1.60827673505728,0.246117602940319,-4.07553032509007
"10",1614,534452060,1301 RIDGEWOOD AVE 1303,124000,3/1/2014 0:00,Normal,132100,Dwg&Lot,1939,1077,851,7420,2,Yes,2,Two-family conversion; originally built as one-family dwelling,One and one-half story:  2nd level unfinished,BrkSide,201401766,-2.10087768467334,-0.543596030784911,-1.01155623023844,0.162349867976044,-3.49368007772064
"11",4861,905102170,3814 QUEBEC ST,155000,5/1/2015 0:00,Normal,145500,Dwg&Lot,1965,1040,906,11200,3,Yes,0,Single-family detached (includes detached townhouses),One story,Sawyer,201503973,-1.81905094724882,-0.660810624878887,-1.00761760771095,0.184833613260601,-3.30264556657805
"12",14405,528138030,4106 HASTINGS AVE,345000,7/1/2006 0:00,Partial,376400,Dwg&Lot,2005,2324,998,11924,4,Yes,2,Single-family detached (includes detached townhouses),Two story,NridgHt,608691,-0.955077842897414,-0.71444074225921,-2.20484252625172,0.142593315048047,-3.73176779636029
"13",4270,532353050,1323 ARIZONA AVE,144000,9/1/2008 0:00,Normal,149100,Dwg&Lot,1962,912,737,12968,2,Yes,0,Single-family detached (includes detached townhouses),One story,Sawyer,810319,-1.84949325252919,-0.803628256637219,-1.03917949489483,0.184833613260601,-3.50746739080063
"14",15118,906378170,5413 TABOR DR,279500,8/1/2007 0:00,Partial,271100,Dwg&Lot,2006,1494,1194,10652,3,Yes,1,Single-family detached (includes detached townhouses),One story,CollgCr,710416,-0.97546921316367,-0.625760485714407,-1.32617457403804,0.207655062197157,-2.71974921071896
"15",3930,535426260,1605 CRESTWOOD CIR,157000,5/1/2008 0:00,Normal,166600,Dwg&Lot,1960,1253,733,10920,2,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,805989,-1.86597052285271,-0.642141713209041,-1.0960402552219,0.366437186804748,-3.23771530447891
"16",1128,903233140,1004 ROOSEVELT AVE,132000,7/1/2007 0:00,Normal,139800,Dwg&Lot,1929,854,0,6120,2,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level unfinished,BrkSide,708354,-2.17456499957258,-0.550857937668191,-1.07439593178574,0.162349867976044,-3.63746900105046
"17",5093,527402200,3328 JEFFERSON CIR,164000,9/1/2014 0:00,Normal,160900,Dwg&Lot,1970,1004,578,11241,2,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,201408260,-1.75225134417023,-0.663653918798966,-1.00969581872595,0.366437186804748,-3.0591638948904
"18",5564,905101330,3915 QUEBEC ST,90000,10/1/2006 0:00,Normal,108800,Dwg&Lot,1967,1296,0,10791,2,Yes,0,Duplex,One story,Sawyer,614207,-1.79543580675333,-0.633998707147795,-1.13085239504025,0.184833613260601,-3.37545329568077
"19",13643,531375110,5317 KANSAS DR,170000,7/1/2014 0:00,Normal,165400,Dwg&Lot,2004,1114,646,13695,3,Yes,0,Single-family detached (includes detached townhouses),One story,SawyerW,201405635,-0.938313875774836,-0.87193539697168,-1.02119208689389,0.169520157082113,-2.66192120255829
"20",3948,535452100,1421 MAXWELL AVE,140000,9/1/2012 0:00,Normal,151800,Dwg&Lot,1958,1339,504,7560,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,201211438,-1.88441230174866,-0.543595519742254,-1.17082809308401,0.366437186804748,-3.23239872777017
"21",14395,528118010,3335 PRESTON CIR,305000,4/1/2011 0:00,Normal,321000,Dwg&Lot,2005,2376,0,14215,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NridgHt,201104103,-0.955077842897414,-0.923362175647207,-2.26694419546669,0.142593315048047,-4.00279089896327
"22",1826,903451110,318 N RUSSELL AVE,139400,6/1/2007 0:00,Normal,138100,Dwg&Lot,1930,1108,0,7449,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level unfinished,IDOTRR,706967,-2.16766635484891,-0.543580118315924,-1.01925078412903,0.155484591703785,-3.57501266559008
"23",12217,907250020,505 SMILEY AVE,230000,9/1/2008 0:00,Normal,235700,Dwg&Lot,2002,1795,0,9742,3,Yes,1,Single-family detached (includes detached townhouses),One story,CollgCr,810894,-0.921615268341063,-0.581253043110562,-1.62961555795815,0.207655062197157,-2.92482880721262
"24",7314,923225040,3318 SOUTHDALE DR,113500,4/1/2014 0:00,Abnorml,137200,Dwg&Lot,1976,1060,840,4224,3,Yes,1,Townhouse:  end unit,One story,MeadowV,201402821,-1.60646357736582,-0.573130999955698,-1.00875946383576,1,-2.18835404115728
"25",5602,905105070,911 ARIZONA AVE,175000,3/1/2015 0:00,Normal,172600,Dwg&Lot,1968,1060,856,8246,3,Yes,1,Single-family detached (includes detached townhouses),One story,Sawyer,201502587,-1.7823449330963,-0.546787057673349,-1.00875946383576,0.184833613260601,-3.15305784134481
"26",15408,528108010,3130 SEDWICK ST,256300,7/1/2009 0:00,Normal,273100,Dwg&Lot,2007,1600,0,14230,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,909014,-0.998847725697867,-0.924875764305582,-1.43263857281827,0.142593315048047,-3.21376874777367
"27",3114,535456110,1326 STAFFORD AVE,134800,5/1/2010 0:00,Normal,146700,Dwg&Lot,1951,900,720,7200,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,1004506,-1.97642414756633,-0.54387394669489,-1.04519147802366,0.366437186804748,-3.19905238548013
"28",15443,528112020,3120 STOCKBURY ST,306000,5/1/2010 0:00,Normal,312500,Dwg&Lot,2007,1704,1218,11478,3,Yes,1,Single-family detached (includes detached townhouses),One story,NridgHt,1005590,-0.998847725697867,-0.680578527656208,-1.5368640983694,0.142593315048047,-3.07369703667543
"29",3923,535426195,1630 CRESTWOOD CIR,207500,12/1/2006 0:00,Normal,226000,Dwg&Lot,1957,1600,1277,16321,2,Yes,2,Single-family detached (includes detached townhouses),One story,NAmes,615481,-1.8954324673458,-1.14730926470224,-1.43263857281827,0.366437186804748,-4.10894311806156
"30",1152,903235100,916 NORTHWESTERN AVE,68500,5/1/2008 0:00,Normal,80500,Dwg&Lot,1927,520,0,6324,1,No,0,Single-family detached (includes detached townhouses),One story,BrkSide,806084,-2.18876120422615,-0.549296178388854,-1.45592647370622,0.162349867976044,-4.03163398834518
"31",1576,911102170,208 S WALNUT AVE,40000,7/1/2008 0:00,Normal,126500,Dwg&Lot,1920,1314,0,8500,3,Yes,0,Single-family detached (includes detached townhouses),Two story,IDOTRR,913291,-2.26264171112129,-0.549670154892992,-1.14238166412528,0.155484591703785,-3.79920893843578
"32",5673,905200510,1219 GARFIELD CIR,149350,6/1/2008 0:00,Normal,151400,Dwg&Lot,1966,1228,0,8544,3,Yes,0,Single-family detached (includes detached townhouses),One story,Sawyer,806422,-1.80782268256405,-0.550287672065361,-1.07869675465669,0.184833613260601,-3.2519734960255
"33",15367,907412090,4805 WALLER ST,179900,1/1/2008 0:00,Normal,224900,Dwg&Lot,2007,1234,1027,11049,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,801088,-0.998847725697867,-0.650581481005067,-1.08260936096432,0.207655062197157,-2.52438350547009
"34",3666,535152150,2026 JENSEN AVE,197000,9/1/2016 0:00,Normal,197700,Dwg&Lot,1959,1700,1018,10552,4,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,201608885,-1.87445193545398,-0.619981252928277,-1.53285776581163,0.366437186804748,-3.66085376738914
"35",14437,528186090,3044 BURNHAM DR,277500,8/1/2007 0:00,Normal,321400,Dwg&Lot,2005,1561,1153,7313,2,Yes,1,Townhouse:  end unit,One story,NridgHt,709648,-0.955077842897414,-0.543697103803927,-1.39339521561996,0.142593315048047,-2.74957684727326
"36",13477,528118020,3327 PRESTON CIR,311000,7/1/2011 0:00,Normal,324900,Dwg&Lot,2004,2452,816,13418,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NridgHt,201107174,-0.938313875774836,-0.845420574874583,-2.36005683503591,0.142593315048047,-4.00119797063728
"37",9221,907135040,5421 FROST DR,178000,3/1/2014 0:00,Normal,174400,Dwg&Lot,1994,1097,680,10859,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201402147,-1.01185072368496,-0.638253025572975,-1.01602712160675,0.207655062197157,-2.45847580866753
"38",2953,535301170,1912 WILSON AVE,162900,12/1/2013 0:00,Normal,169200,Dwg&Lot,1954,1297,1213,8532,3,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,201314453,-1.93356965042571,-0.550116157155034,-1.13175379203325,0.366437186804748,-3.24900241280924
"39",3001,535304180,1718 WILSON AVE,129900,3/1/2013 0:00,Normal,155000,Dwg&Lot,1953,1057,754,7922,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,201303656,-1.94877183141594,-0.544524424809317,-1.00841756677811,0.366437186804748,-3.13527663619862
"40",3257,908201100,211 S FRANKLIN AVE,82000,6/1/2008 0:00,AdjLand,78300,Dwg&Lot,1955,1152,0,6040,2,No,0,Duplex,One story,Edwards,806576,-1.91910973595306,-0.551597760654283,-1.03730030898213,-4.667171707192,-8.17517951278147
"41",4688,535401140,1910 MAXWELL AVE,160000,12/1/2006 0:00,Abnorml,164000,Dwg&Lot,1965,1324,643,8658,3,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,14801,-1.81905094724882,-0.551988279171593,-1.15673353771974,0.366437186804748,-3.1613355773354
"42",3423,527276010,3919 DAWES DR,0,,Normal,160000,Dwg&Lot,1960,1335,831,16744,3,Yes,0,Single-family detached (includes detached townhouses),One story,Gilbert,201302943,-1.81432270970581,-1.19428948524134,-1.14215621444647,0.133675052949563,-4.01709335644405
"43",7456,531453140,1501 ILLINOIS AVE,177500,10/1/2015 0:00,Normal,148000,Dwg&Lot,1983,884,840,9180,2,Yes,0,Single-family detached (includes detached townhouses),Split foyer,SawyerW,201510447,-1.37922373647307,-0.563146325391922,-1.05410088199723,0.169520157082113,-2.82695078678011
"44",6343,907200110,5106 TODD DR,153500,9/1/2013 0:00,Normal,138400,Dwg&Lot,1975,938,771,9200,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201311717,-1.63801325726828,-0.563695331915917,-1.02816855661699,0.207655062197157,-3.02222208360403
"45",3972,535456020,1319 MAXWELL AVE,141000,5/1/2006 0:00,Normal,157300,Dwg&Lot,1959,1150,685,7945,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,606345,-1.87445193545398,-0.544627991459856,-1.0363165227675,0.366437186804748,-3.08895926287659
"46",14428,528180070,3039 BURNHAM DR,380000,8/1/2016 0:00,Normal,339900,Dwg&Lot,2005,1752,765,7658,2,Yes,1,Townhouse:  end unit,One story,NridgHt,201608301,-0.955077842897414,-0.543721908227671,-1.58573126166089,0.142593315048047,-2.94193769773792
"47",13423,914465043,310 TOPAZ CT,239686,8/1/2009 0:00,Abnorml,337300,Dwg&Lot,2003,2149,1351,12952,1,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,Mitchel,200911068,-0.927969431336756,-0.775906924359942,-2.00376536711019,0.179445972994858,-3.52819574981203
"48",15004,528477020,2617 KINGSTON DR,249700,7/1/2007 0:00,Normal,249800,Dwg&Lot,2006,1656,24,11096,3,Yes,1,Single-family detached (includes detached townhouses),One story,Somerst,707533,-0.97546921316367,-0.653729851170017,-1.48841145828552,0.154682497497796,-2.96292802512141
"49",969,902300090,821 WILSON AVE APT 101,131000,4/1/2014 0:00,Normal,116800,Dwg&Lot,1920,1452,0,4456,2,Yes,0,Two-family conversion; originally built as one-family dwelling,Two story,OldTown,201402882,-2.26264171112129,-0.569942819093927,-1.28392982728404,0.246117602940319,-3.87039675455893
"50",5620,905105260,932 YUMA AVE,131500,7/1/2011 0:00,Normal,145600,Dwg&Lot,1966,955,763,7742,3,Yes,0,Single-family detached (includes detached townhouses),One story,Sawyer,201502266,-1.80782268256405,-0.543890471931117,-1.02179672576171,0.184833613260601,-3.18867626699627
"51",9625,527110080,2006 WYNGATE DR,174000,5/1/2011 0:00,Normal,202000,Dwg&Lot,1997,1470,182,13869,3,Yes,0,Single-family detached (includes detached townhouses),Two story,Gilbert,201105253,-0.951837162075132,-0.88893636953637,-1.3021010744251,0.169705196858899,-2.97316940917771
"52",1762,903231070,1103 MARSTON AVE,133000,7/1/2016 0:00,Normal,133100,Dwg&Lot,1934,1176,0,6240,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,BrkSide,201606532,-2.14330503510132,-0.549893267957806,-1.04965536286872,0.162349867976044,-3.5805037979518
"53",4799,903450110,326 N RIVERSIDE DR,110000,5/1/2010 0:00,Normal,110000,Dwg&Lot,1963,816,712,8472,2,No,0,Duplex,One story,IDOTRR,1005093,-1.84079291915128,-0.549290273330646,-1.1049993904667,0.155484591703785,-3.33959799124484
"54",7393,533350050,3110 KINGMAN RD,385000,11/1/2006 0:00,Normal,416800,Dwg&Lot,1981,1762,1762,50271,0,Yes,1,Single-family detached (includes detached townhouses),One story,Veenker,614523,-1.45251351504626,-5.61280302129715,-1.47505390329766,1,-7.54037043964107
