"","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LotConfig","Neighborhood","Condition1","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","Exterior1st","MasVnrType","MasVnrArea","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","log.sale.price","log.SalePrice"
"1","60","RL",65,8450,"None","Reg","Inside","CollgCr","Norm","2Story",7,5,2003,"Gable","VinylSd","BrkFace",196,"Gd","No","GLQ",706,150,856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd","RFn",2,"TA","TA",0,61,0,0,0,0,0,2,2008,"WD","Normal",208500,12.247694320221,12.247694320221
"2","20","RL",80,9600,"None","Reg","FR2","Other","Feedr","1Story",6,8,1976,"Gable","MetalSd","None",0,"Gd","Gd","ALQ",978,284,1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA",298,0,0,0,0,0,0,5,2007,"WD","Normal",181500,12.109010932687,12.109010932687
"3","60","RL",68,11250,"None","IR1","Inside","CollgCr","Norm","2Story",7,5,2001,"Gable","VinylSd","BrkFace",162,"Gd","Mn","GLQ",486,434,920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA",0,42,0,0,0,0,0,9,2008,"WD","Normal",223500,12.3171666930358,12.3171666930358
"4","70","RL",60,9550,"None","IR1","Corner","Crawfor","Norm","2Story",7,5,1915,"Gable","Wd Sdng","None",0,"TA","No","ALQ",216,540,961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd","Unf",3,"TA","TA",0,35,272,0,0,0,0,2,2006,"WD","Abnorml",140000,11.8493977015914,11.8493977015914
"5","60","RL",84,14260,"None","IR1","FR2","NoRidge","Norm","2Story",8,5,2000,"Gable","VinylSd","BrkFace",350,"Gd","Av","GLQ",655,490,1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","RFn",3,"TA","TA",192,84,0,0,0,0,0,12,2008,"WD","Normal",250000,12.4292161968444,12.4292161968444
"6","50","RL",85,14115,"None","IR1","Inside","Mitchel","Norm","1.5Fin",5,5,1993,"Gable","VinylSd","None",0,"Gd","No","GLQ",732,64,796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"None","Attchd","Unf",2,"TA","TA",40,30,0,320,0,0,700,10,2009,"WD","Normal",143000,11.870599909242,11.870599909242
"7","20","RL",75,10084,"None","Reg","Inside","Somerst","Norm","1Story",8,5,2004,"Gable","VinylSd","Stone",186,"Ex","Av","GLQ",1369,317,1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",255,57,0,0,0,0,0,8,2007,"WD","Normal",307000,12.6346030265693,12.6346030265693
"8","60","RL",70.0499583680267,10382,"None","IR1","Corner","NWAmes","PosN","2Story",7,6,1973,"Gable","HdBoard","Stone",240,"Gd","Mn","ALQ",859,216,1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd","RFn",2,"TA","TA",235,204,228,0,0,0,350,11,2009,"WD","Normal",200000,12.2060726455302,12.2060726455302
"9","50","RM",51,6120,"None","Reg","Inside","OldTown","Artery","1.5Fin",7,5,1931,"Gable","BrkFace","None",0,"TA","No","Unf",0,952,1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd","Unf",2,"Other","TA",90,0,205,0,0,0,0,4,2008,"WD","Abnorml",129900,11.7745202026587,11.7745202026587
"10","190","RL",50,7420,"None","Reg","Corner","BrkSide","Artery","Other",5,6,1939,"Gable","MetalSd","None",0,"TA","No","GLQ",851,140,1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd","RFn",1,"Other","TA",0,4,0,0,0,0,0,1,2008,"WD","Normal",118000,11.6784399034478,11.6784399034478
